ID,Tu Semestre Actual,Eres originario de Guadalupe Victoria?,El Tecnológico de los Llanos fue tu:,¿Por qué elegiste esta institución? (elige máximo 3),"Si no fue tu primera opción, ¿cuál fue el motivo principal?",Ingeniería Mecatrónica fue tu:,Motivo principal para elegir Mecatrónica ,"Antes de ingresar, tu conocimiento sobre la carrera era:",Percepcion de Calidad académica general de la carrera,Como consideras el nivel de los docentes,Preparación técnica que estás recibiendo,Actualización tecnológica de contenidos,uso de laboratorio y practicas,Vínculo con el sector productivo,¿Qué deberían mejorar los docentes? (máximo 2),Como sientes el Nivel de exigencia académica actual:,Participación en concursos de robótica/tecnología,Participación en proyectos de investigación,Que tan importante es para ti los Deportes institucionales,Que tan importante es para ti las Actividades culturales,Que tan importante es para ti los Clubes estudiantiles ,¿Has participado en alguna actividad extracurricular?,"Si no participas, el motivo principal es:",¿Has pensado en dejar la carrera?,Motivos que podrían llevarte a dejar la carrera (máximo 3):,Nivel de satisfacción general con la carrera:
1,8°,Si,2da opcion,Cercanía a mi domicilio;Recomendación de familiares y amigos;,Decisión familiar,1er opción,Interés en Electrónica,Poco Claro,Buena,Buena,Regular,Buena,Excelente,Buena,Mayor práctica en laboratorio;Mejor organización;,Alto,Importante,Algo Importante,Algo Importante,Importante,Importante,Si,No aplica,Una vez,Falta de motivación,Satisfecho
2,8°,No,1er opcion,Cercanía a mi domicilio;Costo accesible;Recomendación de familiares y amigos;,No aplica,2da opción,Campo laboral ampli,Poco Claro,Buena,Regular,Buena,Buena,Buena,Buena,Más proyectos reales;Mejor organización;,Adecuado,Importante,Algo Importante,Algo Importante,Algo Importante,Muy Importante,No,No aplica,No aplica,Estrés o carga excesiva,Satisfecho
3,8°,No,1er opcion,Cercanía a mi domicilio;Recomendación de familiares y amigos;Oferta de la carrera;,No aplica,1er opción,Interés en Electrónica,Poco Claro,Buena,Excelente,Buena,Buena,Excelente,Buena,Mejor explicación teórica;,Adecuado,Importante,Muy Importante,Importante,Muy Importante,Importante,Si,No aplica,Nunca,Problemas económicos,Satisfecho
4,8°,No,2da opcion,Cercanía a mi domicilio;,Cambié de interes,1er opción,Interés en Robótica,Poco Claro,Excelente,Buena,Buena,Buena,Buena,Buena,No considero que haya áreas críticas;,Adecuado,Importante,Importante,Algo Importante,Algo Importante,Importante,No,No aplica,No aplica,Problemas personales,Satisfecho
5,8°,Si,3er opción o más ,Otra;,Motivos económicos ,1er opción,Interés en Electrónica,Muy Limitado,Buena,Buena,Buena,Regular,Buena,Buena,No considero que haya áreas críticas;,Alto,Muy Importante,Muy Importante,Importante,Importante,Importante,Si,No aplica,Nunca,Cambio de intereses,Neutral
6,8°,Si,1er opcion,Cercanía a mi domicilio;,No aplica,3er opción o más ,Campo laboral ampli,Poco Claro,Regular,Regular,Regular,Regular,Regular,Regular,Mejor explicación teórica;Mejor comunicación;,Alto,Importante,Importante,Algo Importante,Poco importante,Algo Importante,No,No aplica,No aplica,Bajo rendimiento académico,Neutral
7,8°,No,1er opcion,Costo accesible;Becas disponibles;Actividades extracurriculares;,Motivos económicos ,1er opción,Interés en Robótica,Claro,Excelente,Excelente,Excelente,Excelente,Regular,Excelente,Mayor práctica en laboratorio;Más proyectos reales;,Adecuado,Muy Importante,Importante,Algo Importante,Importante,Importante,Si,Trabajo,Varias veces,Estrés o carga excesiva,Satisfecho
8,8°,No,1er opcion,Cercanía a mi domicilio;,No aplica,1er opción,Influencia familiar,Poco Claro,Regular,Regular,Regular,Regular,Regular,Mala,Más uso de software especializado;Más proyectos reales;,Bajo,Algo Importante,Algo Importante,Nada importante,Nada importante,Poco importante,Si,Falta de tiempo,Varias veces,Estrés o carga excesiva,Neutral
9,8°,Si,2da opcion,Cercanía a mi domicilio;Recomendación de familiares y amigos;Oferta de la carrera;,Decisión familiar,2da opción,Influencia familiar,Poco Claro,Regular,Regular,Mala,Buena,Excelente,Muy mala,Más proyectos reales;Más uso de software especializado;,Bajo,Algo Importante,Algo Importante,Nada importante,Nada importante,Nada importante,Si,Falta de tiempo,Actualmente lo estoy considerando,Estrés o carga excesiva,Neutral
10,6°,No,1er opcion,Prestigio académico ;Costo accesible;Cercanía a mi domicilio;,No aplica,1er opción,Interés en Electrónica,Muy Limitado,Buena,Excelente,Buena,Buena,Buena,Regular,Mejor comunicación;,Adecuado,Importante,Importante,Algo Importante,Algo Importante,Poco importante,Si,No aplica,Una vez,Bajo rendimiento académico,Satisfecho
11,6°,Si,1er opcion,Cercanía a mi domicilio;Recomendación de familiares y amigos;Instalaciones;,No aplica,1er opción,Campo laboral ampli,Poco Claro,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Mayor práctica en laboratorio;,Alto,Importante,Importante,Poco importante,Algo Importante,Importante,Si,Falta de tiempo,Una vez,Problemas económicos,Muy satisfecho
12,8°,Si,2da opcion,Prestigio académico ;Cercanía a mi domicilio;Instalaciones;,Cambié de interes,1er opción,Interés en Robótica,Claro,Excelente,Buena,Buena,Buena,Excelente,Buena,Mejor organización;,Muy Alto,Muy Importante,Algo Importante,Nada importante,Nada importante,Algo Importante,No,No aplica,No aplica,Falta de motivación,Neutral
13,6°,Si,1er opcion,Prestigio académico ;Cercanía a mi domicilio;Instalaciones;,No aplica,1er opción,Campo laboral ampli,Claro,Buena,Buena,Buena,Excelente,Excelente,Excelente,Mayor práctica en laboratorio;Más proyectos reales;,Alto,Nada importante,Muy Importante,Algo Importante,Algo Importante,Nada importante,Si,Falta de tiempo,Nunca,Desilusión con la carrera,Satisfecho
14,8°,No,1er opcion,Cercanía a mi domicilio;Costo accesible;Oferta de la carrera;,No aplica,1er opción,Interés en Robótica,Muy Limitado,Buena,Buena,Excelente,Excelente,Buena,Regular,Más proyectos reales;Mejor organización;,Adecuado,Importante,Algo Importante,Poco importante,Poco importante,Importante,Si,No me interesa,Una vez,Falta de motivación,Satisfecho
15,6°,Si,2da opcion,Cercanía a mi domicilio;Costo accesible;Recomendación de familiares y amigos;,Motivos económicos ,2da opción,Campo laboral ampli,Muy Limitado,Regular,Regular,Buena,Buena,Buena,Buena,Mejor comunicación;,Bajo,Muy Importante,Muy Importante,Algo Importante,Algo Importante,Muy Importante,Si,No aplica,Nunca,Falta de motivación,Satisfecho
16,4°,Si,2da opcion,Cercanía a mi domicilio;Recomendación de familiares y amigos;No fui aceptado en otra institución ;,No fui aceptado en mi primer opción ,1er opción,Interés en Robótica,Claro,Buena,Excelente,Buena,Regular,Regular,Buena,Mayor práctica en laboratorio;Más proyectos reales;,Alto,Importante,Poco importante,Importante,Importante,Algo Importante,Si,No aplica,Varias veces,Cambio de intereses,Satisfecho
17,6°,No,2da opcion,Instalaciones;Oferta de la carrera;,Cambio de ciudad,1er opción,Interés en automatización Industrial,Poco Claro,Excelente,Excelente,Buena,Buena,Excelente,Buena,Mejor explicación teórica;Más proyectos reales;,Alto,Muy Importante,Muy Importante,Algo Importante,Muy Importante,Muy Importante,No,No aplica,No aplica,Problemas personales,Muy satisfecho
18,4°,Si,2da opcion,Cercanía a mi domicilio;,Decisión familiar,1er opción,Interés en Robótica,Claro,Buena,Buena,Excelente,Buena,Excelente,Buena,Mayor práctica en laboratorio;No considero que haya áreas críticas;,Adecuado,Importante,Importante,Importante,Importante,Importante,No,No aplica,No aplica,Falta de motivación,Satisfecho
19,4°,Si,1er opcion,Cercanía a mi domicilio;Costo accesible;Oferta de la carrera;,No aplica,1er opción,Interés en automatización Industrial,Poco Claro,Buena,Buena,Buena,Buena,Buena,Regular,Mayor práctica en laboratorio;Más proyectos reales;,Adecuado,Importante,Algo Importante,Algo Importante,Algo Importante,Importante,Si,No hay suficientes opciones,Una vez,Problemas económicos,Satisfecho
20,4°,Si,1er opcion,Cercanía a mi domicilio;,No aplica,1er opción,Campo laboral ampli,Poco Claro,Regular,Regular,Regular,Regular,Regular,Regular,Mayor práctica en laboratorio;No considero que haya áreas críticas;,Adecuado,Algo Importante,Algo Importante,Poco importante,Poco importante,Poco importante,Si,No aplica,Una vez,Desilusión con la carrera,Neutral
21,4°,Si,2da opcion,Cercanía a mi domicilio;Costo accesible;Recomendación de familiares y amigos;,Cambié de interes,1er opción,Campo laboral ampli,Poco Claro,Buena,Buena,Buena,Buena,Buena,Buena,Mejor comunicación;,Alto,Importante,Importante,Importante,Importante,Importante,Si,Falta de tiempo,Una vez,Falta de motivación,Satisfecho
22,2°,No,3er opción o más ,Oferta de la carrera;No fui aceptado en otra institución ;Recomendación de familiares y amigos;,No fui aceptado en mi primer opción ,3er opción o más ,Interés en Programación,Poco Claro,Buena,Excelente,Buena,Buena,Buena,Buena,Más proyectos reales;Mayor práctica en laboratorio;,Adecuado,Importante,Importante,Nada importante,Poco importante,Algo Importante,No,No aplica,No aplica,Estrés o carga excesiva,Satisfecho
23,6°,No,3er opción o más ,Costo accesible;Recomendación de familiares y amigos;,Motivos económicos ,2da opción,Interés en Robótica,Claro,Regular,Regular,Regular,Regular,Buena,Regular,Mayor práctica en laboratorio;Mejor organización;,Adecuado,Muy Importante,Algo Importante,Poco importante,Poco importante,Poco importante,Si,No aplica,Varias veces,Falta de motivación,Neutral
24,4°,Si,2da opcion,Cercanía a mi domicilio;Recomendación de familiares y amigos;Actividades extracurriculares;,Motivos económicos ,1er opción,Interés en Programación,Poco Claro,Buena,Excelente,Buena,Excelente,Excelente,Buena,No considero que haya áreas críticas;,Adecuado,Importante,Algo Importante,Algo Importante,Importante,Importante,Si,Falta de tiempo,Una vez,Problemas económicos,Satisfecho
25,4°,Si,2da opcion,Cercanía a mi domicilio;Prestigio académico ;Costo accesible;,Motivos económicos ,1er opción,Interés en automatización Industrial,Poco Claro,Excelente,Excelente,Buena,Buena,Regular,Excelente,Mayor práctica en laboratorio;Más uso de software especializado;,Adecuado,Muy Importante,Muy Importante,Algo Importante,Algo Importante,Muy Importante,Si,Falta de tiempo,Nunca,Bajo rendimiento académico,Muy satisfecho
26,4°,No,1er opcion,Prestigio académico ;Cercanía a mi domicilio;Costo accesible;,No aplica,1er opción,Interés en Robótica,Poco Claro,Buena,Buena,Buena,Buena,Buena,Buena,Mayor práctica en laboratorio;,Alto,Algo Importante,Algo Importante,Algo Importante,Algo Importante,Importante,Si,Falta de tiempo,Nunca,Falta de motivación,Muy satisfecho
27,4°,Si,2da opcion,Cercanía a mi domicilio;Costo accesible;Recomendación de familiares y amigos;,Motivos económicos ,2da opción,Campo laboral ampli,Poco Claro,Buena,Buena,Buena,Buena,Buena,Buena,Mejor organización;,Adecuado,Algo Importante,Algo Importante,Algo Importante,Algo Importante,Algo Importante,Si,No me interesa,Una vez,Problemas personales,Satisfecho
28,4°,No,3er opción o más ,Costo accesible;No fui aceptado en otra institución ;,Decisión familiar,3er opción o más ,Interés en Robótica,Poco Claro,Buena,Buena,Excelente,Buena,Mala,Regular,Mayor práctica en laboratorio;Mejor explicación teórica;,Alto,Importante,Importante,Algo Importante,Algo Importante,Importante,Si,No aplica,Una vez,Falta de apoyo academico,Satisfecho
29,6°,Si,2da opcion,Cercanía a mi domicilio;Otra;,Decisión familiar,1er opción,Interés en Robótica,Poco Claro,Excelente,Excelente,Excelente,Excelente,Buena,Buena,Mayor práctica en laboratorio;,Adecuado,Muy Importante,Importante,Importante,Importante,Muy Importante,No,No aplica,No aplica,Problemas económicos,Satisfecho
30,4°,No,3er opción o más ,Cercanía a mi domicilio;Recomendación de familiares y amigos;,Decisión familiar,3er opción o más ,Influencia familiar,Claro,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Más proyectos reales;Mejor comunicación;,Adecuado,Muy Importante,Muy Importante,Poco importante,Muy Importante,Muy Importante,No,No aplica,No aplica,Problemas personales,Satisfecho
31,4°,No,1er opcion,Costo accesible;Instalaciones;Becas disponibles;,No aplica,1er opción,Campo laboral ampli,Claro,Excelente,Excelente,Buena,Buena,Buena,Buena,Mayor práctica en laboratorio;Mejor organización;,Adecuado,Importante,Importante,Algo Importante,Algo Importante,Algo Importante,Si,No aplica,Nunca,Problemas económicos,Satisfecho
32,2°,Si,3er opción o más ,Recomendación de familiares y amigos;Prestigio académico ;Instalaciones;,No fui aceptado en mi primer opción ,3er opción o más ,Campo laboral ampli,Poco Claro,Excelente,Excelente,Buena,Buena,Regular,Regular,Mayor práctica en laboratorio;Mejor comunicación;,Alto,Muy Importante,Importante,Importante,Importante,Muy Importante,No,No aplica,No aplica,Falta de motivación,Satisfecho
33,8°,No,1er opcion,Costo accesible;Cercanía a mi domicilio;Instalaciones;,No aplica,1er opción,Interés en automatización Industrial,Poco Claro,Buena,Excelente,Buena,Buena,Buena,Buena,Más proyectos reales;Mejor comunicación;,Adecuado,Importante,Algo Importante,Algo Importante,Algo Importante,Algo Importante,No,No aplica,No aplica,Problemas económicos,Muy insatisfecho
34,4°,No,3er opción o más ,Cercanía a mi domicilio;Costo accesible;Recomendación de familiares y amigos;,Motivos económicos ,1er opción,Interés en Programación,Poco Claro,Excelente,Excelente,Excelente,Excelente,Buena,Buena,Más uso de software especializado;,Adecuado,Muy Importante,Importante,Poco importante,Importante,Muy Importante,Si,Falta de tiempo,Nunca,Problemas económicos,Satisfecho
35,8°,Si,1er opcion,Prestigio académico ;Cercanía a mi domicilio;Costo accesible;,Cambié de interes,1er opción,Interés en Programación,Poco Claro,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Mejor organización;,Muy Alto,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Si,Falta de tiempo,Nunca,Problemas económicos,Muy satisfecho
36,6°,Si,3er opción o más ,Cercanía a mi domicilio;,Cambio de ciudad,2da opción,Campo laboral ampli,Poco Claro,Regular,Regular,Regular,Buena,Buena,Regular,Evaluaciones más claras;Mejor comunicación;,Alto,Importante,Poco importante,Nada importante,Nada importante,Nada importante,Si,No hay suficientes opciones,Una vez,Estrés o carga excesiva,Neutral
37,2°,No,3er opción o más ,Cercanía a mi domicilio;Recomendación de familiares y amigos;No fui aceptado en otra institución ;,No fui aceptado en mi primer opción ,2da opción,Recomendación externa,Muy Limitado,Excelente,Excelente,Excelente,Excelente,Buena,Buena,No considero que haya áreas críticas;,Adecuado,Muy Importante,Muy Importante,Algo Importante,Algo Importante,Importante,Si,Falta de tiempo,Varias veces,Cambio de intereses,Satisfecho
38,4°,No,1er opcion,Cercanía a mi domicilio;Costo accesible;Becas disponibles;,Motivos económicos ,1er opción,Desconocía la carrera al ingresar,Muy Limitado,Buena,Buena,Regular,Regular,Regular,Regular,Mayor práctica en laboratorio;Más proyectos reales;,Adecuado,Importante,Importante,Importante,Importante,Importante,Si,Falta de tiempo,Una vez,Falta de motivación,Neutral
39,6°,No,2da opcion,Cercanía a mi domicilio;Costo accesible;,Cambio de ciudad,1er opción,Interés en Programación,Poco Claro,Buena,Excelente,Buena,Buena,Excelente,Buena,Más proyectos reales;,Adecuado,Importante,Importante,Algo Importante,Algo Importante,Algo Importante,Si,Falta de tiempo,Nunca,Problemas económicos,Neutral
